province,year,urban_rural_income_ratio,gdp_per_capita,urban_income,rural_income,urbanization_rate,tertiary_share,fiscal_expenditure_pc,fixed_investment_pc,retail_sales_pc,treated,post
云南,2010,2.973,2.39,2.3,0.77,40.0,46.7,0.356,1.48,0.99,0,0
云南,2011,2.868,2.64,2.57,0.9,40.0,47.3,0.408,1.54,1.07,0,0
云南,2012,2.779,2.85,2.95,1.06,40.8,47.7,0.423,1.79,1.23,0,0
云南,2013,2.734,3.09,3.33,1.22,41.9,48.3,0.489,1.92,1.14,0,0
云南,2014,2.72,3.19,3.49,1.28,42.7,49.6,0.488,1.96,1.29,0,0
云南,2015,2.64,3.52,3.76,1.43,44.1,48.7,0.507,1.8,1.41,0,0
云南,2016,2.595,3.64,3.73,1.44,45.5,50.0,0.536,2.17,1.42,0,0
云南,2017,2.542,4.13,3.86,1.52,46.3,50.5,0.618,2.51,1.55,0,0
云南,2018,2.503,4.34,3.85,1.54,47.9,50.1,0.644,2.66,1.66,0,0
云南,2019,2.373,4.75,4.51,1.9,48.7,50.7,0.723,3.01,1.95,0,0
云南,2020,2.325,5.05,4.63,1.99,50.1,51.7,0.706,3.02,1.97,0,0
云南,2021,2.28,5.39,5.1,2.24,51.7,52.6,0.81,3.22,2.1,0,1
云南,2022,2.204,5.71,4.43,2.01,52.6,52.8,0.937,3.79,2.36,0,1
云南,2023,2.149,5.98,5.09,2.37,54.0,53.8,0.933,2.98,2.15,0,1
云南,2024,2.1,6.32,5.8483295711060945,2.794477611940299,55.2,54.818939393939395,0.9290170757737461,2.34311345646438,1.958686440677966,0,1
内蒙古,2010,2.585,3.29,2.15,0.83,55.4,46.3,0.464,1.84,1.33,0,0
内蒙古,2011,2.57,3.6,2.31,0.9,56.3,45.8,0.54,2.54,1.43,0,0
内蒙古,2012,2.491,3.93,2.57,1.03,57.6,47.3,0.59,2.32,1.61,0,0
内蒙古,2013,2.491,4.31,2.83,1.14,59.4,47.7,0.678,2.51,1.84,0,0
内蒙古,2014,2.401,4.5,3.17,1.32,60.3,48.5,0.693,2.67,1.89,0,0
内蒙古,2015,2.324,4.86,3.36,1.45,62.0,49.0,0.644,2.61,1.88,0,0
内蒙古,2016,2.325,5.53,3.4,1.46,62.5,48.6,0.778,3.77,2.15,0,0
内蒙古,2017,2.271,5.64,3.49,1.54,63.8,49.1,0.86,3.04,2.02,0,0
内蒙古,2018,2.183,6.19,3.58,1.64,64.8,49.1,0.955,3.42,2.58,0,0
内蒙古,2019,2.056,6.59,3.96,1.93,66.2,49.9,1.013,4.31,2.73,0,0
内蒙古,2020,2.051,7.27,4.08,1.99,67.7,50.0,1.136,3.29,3.0,0,0
内蒙古,2021,1.998,7.63,4.62,2.31,68.8,51.9,1.204,5.34,3.05,0,1
内蒙古,2022,1.903,8.0,4.33,2.28,69.8,51.6,1.167,5.55,3.21,0,1
内蒙古,2023,1.901,8.25,4.22,2.22,71.0,52.2,1.192,4.88,3.65,0,1
内蒙古,2024,1.86,8.72,4.112794457274826,2.1615789473684215,72.1,52.80697674418605,1.217535561268209,4.290882882882883,4.150311526479751,0,1
吉林,2010,2.354,2.0,1.75,0.74,50.5,46.7,0.274,1.03,0.84,0,0
吉林,2011,2.292,2.21,1.9,0.83,51.4,47.1,0.331,1.17,0.92,0,0
吉林,2012,2.189,2.34,2.36,1.08,53.2,47.4,0.334,1.32,0.99,0,0
吉林,2013,2.157,2.52,2.55,1.18,54.0,48.3,0.414,1.59,1.06,0,0
吉林,2014,2.164,2.71,2.9,1.34,55.1,48.8,0.388,1.58,1.13,0,0
吉林,2015,2.054,3.01,2.99,1.46,57.1,49.2,0.444,1.73,1.31,0,0
吉林,2016,2.052,3.18,3.21,1.56,57.9,50.5,0.507,1.81,1.23,0,0
吉林,2017,2.011,3.51,3.33,1.66,58.8,50.5,0.511,2.26,1.41,0,0
吉林,2018,1.974,3.73,3.5,1.77,60.4,51.0,0.564,2.22,1.54,0,0
吉林,2019,1.98,3.98,3.71,1.87,61.6,51.7,0.559,2.85,1.59,0,0
吉林,2020,1.82,4.33,3.79,2.08,62.7,52.0,0.669,2.86,1.78,0,0
吉林,2021,1.784,4.33,3.9,2.19,63.6,52.4,0.653,2.39,1.66,0,1
吉林,2022,1.731,4.66,4.03,2.33,64.9,52.5,0.749,2.48,1.7,0,1
吉林,2023,1.675,5.03,3.88,2.32,66.4,52.3,0.668,3.21,1.9,0,1
吉林,2024,1.64,5.32,3.7355831265508677,2.3100429184549354,67.8,52.1007619047619,0.5957596795727638,4.154879032258065,2.123529411764706,0,1
四川,2010,2.471,2.57,2.1,0.85,44.3,47.1,0.36,1.46,1.0,0,0
四川,2011,2.429,2.74,2.21,0.91,46.0,47.2,0.414,1.63,0.99,0,0
四川,2012,2.354,2.93,2.44,1.04,47.0,48.7,0.433,1.86,1.13,0,0
四川,2013,2.308,3.25,2.71,1.17,48.6,49.6,0.478,1.92,1.22,0,0
四川,2014,2.28,3.49,2.94,1.29,49.5,49.5,0.475,2.25,1.45,0,0
四川,2015,2.223,3.75,3.12,1.4,50.8,49.6,0.596,2.59,1.52,0,0
四川,2016,2.172,4.11,3.11,1.43,51.8,50.3,0.644,2.66,1.66,0,0
四川,2017,2.12,4.31,3.63,1.71,52.9,50.8,0.58,2.56,1.56,0,0
四川,2018,2.102,4.96,3.44,1.64,55.0,51.8,0.755,3.04,1.91,0,0
四川,2019,2.023,4.96,3.74,1.85,55.2,52.3,0.682,2.96,1.95,0,0
四川,2020,1.953,5.55,4.15,2.12,56.7,52.8,0.828,2.8,2.05,0,0
四川,2021,1.946,5.84,4.24,2.18,57.8,52.7,0.89,3.45,2.34,0,1
四川,2022,1.927,6.24,4.25,2.2,59.4,53.8,0.949,3.69,2.35,0,1
四川,2023,1.783,6.28,4.16,2.33,60.9,53.2,0.908,3.08,2.23,0,1
四川,2024,1.75,6.65,4.071905882352942,2.467681818181818,62.2,52.606691449814136,0.8687713382507904,2.5708401084010846,2.116127659574468,0,1
宁夏,2010,2.597,2.54,2.26,0.87,53.6,49.1,0.381,1.44,1.11,0,0
宁夏,2011,2.56,2.73,2.27,0.88,55.1,50.4,0.407,1.66,1.07,0,0
宁夏,2012,2.496,2.92,2.59,1.04,55.6,50.3,0.446,1.81,1.21,0,0
宁夏,2013,2.462,3.23,2.85,1.16,56.6,50.3,0.443,1.67,1.35,0,0
宁夏,2014,2.369,3.36,3.07,1.29,58.4,50.4,0.524,2.32,1.24,0,0
宁夏,2015,2.407,3.75,3.31,1.38,59.1,50.9,0.596,2.23,1.46,0,0
宁夏,2016,2.27,3.93,3.47,1.53,60.3,51.5,0.615,2.28,1.48,0,0
宁夏,2017,2.248,4.24,3.62,1.61,61.7,53.4,0.684,2.6,1.67,0,0
宁夏,2018,2.19,4.8,3.67,1.68,62.8,53.6,0.675,2.87,2.08,0,0
宁夏,2019,2.127,5.16,3.89,1.83,64.0,53.4,0.796,3.12,2.12,0,0
宁夏,2020,2.141,5.23,4.33,2.02,65.6,54.2,0.76,2.97,2.17,0,0
宁夏,2021,2.079,5.58,4.51,2.17,66.4,54.6,0.896,3.51,2.25,0,1
宁夏,2022,1.982,6.13,4.34,2.19,67.8,54.6,0.912,3.75,2.66,0,1
宁夏,2023,1.979,6.31,4.97,2.51,69.4,54.8,0.971,3.35,2.89,0,1
宁夏,2024,1.94,6.68,5.691451612903225,2.8767579908675796,70.5,55.0007326007326,1.0338168859649122,2.9926666666666666,3.139887218045113,0,1
安徽,2010,2.335,2.76,1.73,0.74,45.6,47.3,0.418,1.69,1.12,0,0
安徽,2011,2.3,2.94,2.12,0.92,47.4,46.9,0.442,1.69,1.16,0,0
安徽,2012,2.276,3.09,2.42,1.06,49.4,47.5,0.478,1.85,1.27,0,0
安徽,2013,2.205,3.36,2.42,1.1,49.5,47.6,0.473,2.01,1.43,0,0
安徽,2014,2.215,3.67,3.01,1.36,50.5,48.6,0.548,2.44,1.51,0,0
安徽,2015,2.09,3.97,2.93,1.4,52.4,49.3,0.576,2.43,1.67,0,0
安徽,2016,2.083,4.2,2.96,1.42,53.5,49.3,0.608,2.67,1.72,0,0
安徽,2017,2.031,4.47,3.4,1.68,54.8,49.2,0.644,2.97,1.76,0,0
安徽,2018,1.98,4.9,3.52,1.78,55.8,50.8,0.712,3.29,2.14,0,0
安徽,2019,1.94,5.51,3.58,1.85,57.6,50.6,0.833,3.18,2.32,0,0
安徽,2020,1.845,5.68,3.71,2.01,58.5,50.7,0.834,3.24,2.28,0,0
安徽,2021,1.834,6.2,4.01,2.19,58.7,51.0,0.886,3.7,2.53,0,1
安徽,2022,1.822,6.53,4.13,2.27,59.9,52.0,0.934,4.4,2.72,0,1
安徽,2023,1.756,6.87,4.19,2.38,62.1,54.3,0.907,4.43,2.75,0,1
安徽,2024,1.72,7.25,4.25087167070218,2.4953303964757705,63.5,56.70173076923076,0.8807805139186295,4.460204545454545,2.780330882352941,0,1
山东,2010,2.371,3.45,2.06,0.87,51.0,48.7,0.49,2.09,1.31,0,0
山东,2011,2.282,3.69,1.95,0.85,52.2,49.5,0.551,1.98,1.48,0,0
山东,2012,2.225,3.86,2.31,1.04,53.3,49.2,0.557,2.26,1.64,0,0
山东,2013,2.153,4.24,2.4,1.11,54.6,49.8,0.605,2.52,1.63,0,0
山东,2014,2.088,4.58,2.68,1.29,55.9,51.2,0.676,2.83,1.97,0,0
山东,2015,2.093,4.99,2.86,1.37,57.1,51.0,0.732,2.83,2.03,0,0
山东,2016,2.036,5.3,3.42,1.68,58.4,51.8,0.842,3.23,2.18,0,0
山东,2017,1.995,5.62,3.0,1.5,59.7,52.6,0.846,3.2,2.2,0,0
山东,2018,1.955,6.32,3.4,1.74,60.5,52.1,0.995,4.1,2.73,0,0
山东,2019,1.947,6.72,3.68,1.89,62.3,53.5,0.997,4.24,2.64,0,0
山东,2020,1.834,7.09,3.95,2.15,63.4,52.8,1.073,3.8,2.69,0,0
山东,2021,1.8,7.68,3.69,2.05,64.1,54.2,1.161,4.98,2.93,0,1
山东,2022,1.759,8.02,3.88,2.21,65.5,54.1,1.203,4.74,3.2,0,1
山东,2023,1.767,8.56,4.21,2.38,66.3,55.6,1.223,5.35,3.11,0,1
山东,2024,2.18,9.02,4.568067010309278,2.563076923076923,67.5,57.141589648798515,1.243332502078138,6.03850210970464,3.0225312499999997,0,1
山西,2010,2.59,2.47,2.03,0.78,50.8,49.6,0.376,1.54,0.98,0,0
山西,2011,2.541,2.53,2.41,0.95,51.6,50.2,0.423,1.25,0.94,0,0
山西,2012,2.475,2.86,2.64,1.07,53.1,50.0,0.403,1.55,1.07,0,0
山西,2013,2.428,2.98,2.84,1.17,53.9,50.0,0.476,1.64,1.08,0,0
山西,2014,2.404,3.24,2.94,1.22,55.6,51.0,0.445,1.76,1.23,0,0
山西,2015,2.271,3.56,3.19,1.41,56.9,52.2,0.533,2.09,1.42,0,0
山西,2016,2.246,3.8,3.35,1.49,57.1,52.4,0.575,2.54,1.5,0,0
