年份,城镇化率_浙江,城镇化率_合成,城镇化率_效应,农村居民转移性收入占比_浙江,农村居民转移性收入占比_合成,农村居民转移性收入占比_效应,农村居民工资性收入占比_浙江,农村居民工资性收入占比_合成,农村居民工资性收入占比_效应,人均教育经费_浙江,人均教育经费_合成,人均教育经费_效应,人均卫生总费用_浙江,人均卫生总费用_合成,人均卫生总费用_效应
2010,61.6,61.382620523704084,0.21737947629591758,8.5,9.331314187545772,-0.8313141875457717,42.0,40.00000000001327,1.999999999986727,1580,1450.1076992846595,129.89230071534053,2150,1981.0385058933248,168.96149410667522
2011,62.3,62.26095514366007,0.03904485633992749,9.2,10.131314187545781,-0.931314187545782,43.2,41.20000000001367,1.9999999999863363,1720,1580.1194111860523,139.88058881394772,2420,2231.1723375567713,188.82766244322875
2012,63.2,63.31192415728694,-0.11192415728693561,10.1,10.831314187545786,-0.7313141875457863,44.5,42.50000000001405,1.9999999999859526,1880,1720.1322437342362,159.86775626576377,2720,2511.326289504575,208.67371049542498
2013,64.0,64.1559084396375,-0.1559084396374999,11.0,11.53131418754579,-0.5313141875457905,45.5,43.50000000001444,1.9999999999855618,2050,1880.147158431078,169.85284156892203,3050,2821.492639004788,228.5073609952119
2014,64.9,64.9519611523994,-0.051961152399400135,12.2,12.3313141875458,-0.13131418754580082,46.2,44.20000000001477,1.999999999985235,2250,2050.1633529196356,199.8366470803644,3420,3161.680395822294,258.31960417770597
2015,65.8,66.00048218365521,-0.2004821836552111,13.5,13.31806162004398,0.18193837995601925,46.8,45.00000000001506,1.7999999999849337,2480,2250.1817980346773,229.81820196532271,3820,3541.897664378794,278.10233562120584
2016,67.0,67.01494177938261,-0.01494177938261032,14.8,14.298182768791246,0.5018172312087543,47.2,45.800000000015366,1.3999999999846366,2720,2480.20265292113,239.7973470788702,4260,3962.1327463836615,297.86725361633853
2017,68.0,67.99240877413679,0.007591225863208706,15.6,15.091556485040337,0.5084435149596622,47.8,46.50000000001569,1.2999999999843084,2980,2720.2255806233366,259.77441937666345,4750,4422.398627160459,327.601372839541
2018,68.9,68.82622484930445,0.0737751506955533,16.5,15.798182768791259,0.7018172312087412,48.2,47.00000000001602,1.19999999998398,3260,2980.250749619125,279.74925038087486,5280,4922.696815504054,357.30318449594597
2019,70.0,69.69713980403876,0.30286019596124447,17.2,16.50480905254218,0.6951909474578208,48.5,47.500000000016314,0.9999999999836859,3550,3250.2779914306693,299.7220085693307,5860,5473.02011634964,386.9798836503596
2020,72.2,72.26408599445017,-0.06408599445016705,18.2,17.29818276879127,0.901817231208728,48.5,48.000000000016506,0.4999999999834941,3850,3520.305392387138,329.694607612862,6500,6083.368801250197,416.63119874980293
2021,72.7,72.75340783214995,-0.0534078321499436,19.1,17.891556485040365,1.2084435149596366,49.5,48.500000000016705,0.9999999999832951,4200,3820.335203115016,379.66479688498384,7200,6743.757199052326,456.24280094767437
2022,73.4,73.24997050002919,0.15002949997081316,19.8,18.48493020128945,1.3150697987105495,50.5,49.000000000016904,1.4999999999830962,4580,4150.367423614304,429.63257638569576,7950,7454.186470378774,495.8135296212258
2023,74.2,73.76263115027017,0.43736884972983603,20.5,19.078303917538545,1.4216960824614553,51.2,49.500000000017096,1.6999999999829072,4980,4500.401885407173,479.5981145928272,8750,8204.659955146517,545.340044853483
2024,74.9,74.04327937824199,0.856720621758015,21.3,19.484930201289465,1.8150697987105353,51.8,50.00000000001729,1.7999999999827097,5400,4850.438251537972,549.5617484620279,9600,9005.173036679711,594.826963320289
