year,treated,synthetic,effect
2010,2.426,2.3389949999999997,0.08700500000000044
2011,2.374,2.2670350000000004,0.10696499999999975
2012,2.366,2.248037,0.11796300000000004
2013,2.129,2.18653,-0.05752999999999986
2014,2.086,2.1349839999999998,-0.048983999999999916
2015,2.069,2.107361,-0.03836100000000009
2016,2.066,2.05475,0.011249999999999982
2017,2.054,2.025485,0.028514999999999624
2018,2.036,1.978523,0.057477
2019,1.963,1.9618710000000001,0.0011289999999999356
2020,1.964,1.905449,0.05855100000000002
2021,1.94,1.819679,0.1203209999999999
2022,1.9,1.817,0.08299999999999996
2023,1.86,1.710526,0.1494740000000001
2024,1.82,2.15642,-0.3364199999999997
